epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,325.236,0.78051,0.25176,0.00317,0.99728,1,0.995,0.81658,0.74512,0.19369,0.00402,0.0005348,0.0005348,0.0005348
76,329.469,0.75058,0.23424,0.00299,0.99737,1,0.995,0.84078,0.70628,0.17939,0.00386,0.000515,0.000515,0.000515
77,333.707,0.64799,0.21053,0.00279,0.99727,1,0.995,0.85215,0.69808,0.17528,0.0038,0.0004952,0.0004952,0.0004952
78,337.939,0.77798,0.26544,0.00318,1,0.99921,0.995,0.84441,0.66425,0.18847,0.00366,0.0004754,0.0004754,0.0004754
79,342.22,0.71607,0.24953,0.00324,1,1,0.995,0.83558,0.69099,0.17438,0.00383,0.0004556,0.0004556,0.0004556
80,346.485,0.7359,0.23742,0.00287,0.99741,1,0.995,0.83237,0.70952,0.18233,0.00391,0.0004358,0.0004358,0.0004358
81,350.702,0.66342,0.21499,0.00301,0.99745,1,0.995,0.85263,0.68986,0.17889,0.0038,0.000416,0.000416,0.000416
82,354.917,0.64307,0.22756,0.00276,1,1,0.995,0.83461,0.68373,0.1733,0.00374,0.0003962,0.0003962,0.0003962
83,359.142,0.63172,0.1919,0.00292,1,1,0.995,0.84788,0.68153,0.17027,0.00376,0.0003764,0.0003764,0.0003764
84,363.424,0.60494,0.22897,0.00253,0.99746,1,0.995,0.85113,0.6792,0.17926,0.00373,0.0003566,0.0003566,0.0003566
85,367.643,0.63559,0.20141,0.00266,0.99728,1,0.995,0.86228,0.66219,0.19124,0.00366,0.0003368,0.0003368,0.0003368
86,371.888,0.63155,0.21578,0.0028,1,0.99961,0.995,0.85589,0.6561,0.18741,0.00363,0.000317,0.000317,0.000317
87,376.151,0.60142,0.21177,0.00258,1,0.99177,0.995,0.84947,0.661,0.22738,0.00365,0.0002972,0.0002972,0.0002972
88,380.375,0.61713,0.21395,0.00269,0.99695,1,0.995,0.85667,0.68355,0.18279,0.00376,0.0002774,0.0002774,0.0002774
89,384.575,0.64489,0.23577,0.00274,0.99761,1,0.995,0.84547,0.69327,0.19082,0.00378,0.0002576,0.0002576,0.0002576
90,388.836,0.7026,0.22417,0.00323,0.99687,1,0.995,0.84779,0.68843,0.18155,0.00376,0.0002378,0.0002378,0.0002378
91,408.692,0.50915,0.1565,0.00254,0.99716,1,0.995,0.86376,0.66386,0.1698,0.00362,0.000218,0.000218,0.000218
92,412.933,0.54786,0.19904,0.00273,0.99728,1,0.995,0.8543,0.66339,0.16775,0.00365,0.0001982,0.0001982,0.0001982
93,417.116,0.54168,0.17828,0.00264,0.99731,1,0.995,0.85391,0.66875,0.16851,0.00367,0.0001784,0.0001784,0.0001784
94,421.473,0.51723,0.16629,0.0026,0.99808,1,0.995,0.85706,0.66453,0.17709,0.00369,0.0001586,0.0001586,0.0001586
95,425.818,0.51223,0.15471,0.00252,1,0.99692,0.995,0.84821,0.66626,0.19357,0.00366,0.0001388,0.0001388,0.0001388
96,430.166,0.48656,0.17678,0.00244,0.99744,1,0.995,0.87709,0.65354,0.17245,0.00357,0.000119,0.000119,0.000119
97,434.908,0.5009,0.15324,0.00246,0.99705,1,0.995,0.87019,0.65437,0.17109,0.00355,9.92e-05,9.92e-05,9.92e-05
98,439.149,0.50282,0.15628,0.00257,0.9969,1,0.995,0.86858,0.64476,0.1701,0.00352,7.94e-05,7.94e-05,7.94e-05
99,443.391,0.48707,0.14296,0.00254,0.99695,1,0.995,0.86858,0.6366,0.16895,0.00351,5.96e-05,5.96e-05,5.96e-05
100,447.717,0.48118,0.16128,0.00225,0.997,1,0.995,0.86933,0.6386,0.16811,0.0035,3.98e-05,3.98e-05,3.98e-05
